#{"t_start": 1682828472.0552056, "env_id": null}
r,l,t
652.680657,1,13.099794
652.680657,1,13.117996
652.680657,1,13.141484
652.680657,1,13.161144
652.680657,1,13.180968
652.680657,1,13.199552
652.680657,1,13.22073
652.680657,1,13.240394
652.680657,1,13.26123
652.680657,1,13.280284
652.680657,1,13.301045
652.680657,1,13.318645
652.680657,1,13.336794
652.680657,1,13.353063
652.680657,1,13.373097
652.680657,1,13.392334
652.680657,1,13.41059
652.680657,1,13.428536
652.680657,1,13.447306
652.680657,1,13.467178
652.680657,1,13.485102
652.680657,1,13.502871
652.680657,1,13.523861
652.680657,1,13.54275
652.680657,1,13.562075
652.680657,1,13.580312
652.680657,1,13.60287
652.680657,1,13.622308
652.680657,1,13.644432
652.680657,1,13.662974
652.680657,1,13.685006
652.680657,1,13.703294
652.680657,1,13.720781
652.680657,1,13.738077
652.680657,1,13.762665
652.680657,1,13.785211
652.680657,1,13.804646
652.680657,1,13.822221
652.680657,1,13.846758
652.680657,1,13.868281
652.680657,1,13.888101
652.680657,1,13.906656
652.680657,1,13.93223
652.680657,1,13.951043
652.680657,1,13.969208
652.680657,1,13.985244
652.680657,1,14.009595
652.680657,1,14.029318
652.680657,1,14.047822
652.680657,1,14.069367
652.680657,1,14.088354
652.680657,1,14.109099
652.680657,1,14.129103
652.680657,1,14.146306
652.680657,1,14.168898
652.680657,1,14.217829
652.680657,1,14.238413
652.680657,1,14.261177
652.680657,1,14.284974
652.680657,1,14.304463
652.680657,1,14.322004
652.680657,1,14.342759
652.680657,1,14.364215
652.680657,1,14.386764
652.680657,1,14.412725
652.680657,1,14.438283
652.680657,1,14.465498
652.680657,1,14.486304
652.680657,1,14.506403
652.680657,1,14.527658
652.680657,1,14.549206
652.680657,1,14.569527
652.680657,1,14.589153
652.680657,1,14.607349
652.680657,1,14.63149
652.680657,1,14.649461
652.680657,1,14.668175
652.680657,1,14.688356
652.680657,1,14.710313
652.680657,1,14.729325
652.680657,1,14.7489
652.680657,1,14.77057
652.680657,1,14.792889
652.680657,1,14.811198
652.680657,1,14.829869
652.680657,1,14.848293
652.680657,1,14.870398
652.680657,1,14.891053
652.680657,1,14.912441
652.680657,1,14.930515
652.680657,1,14.952751
652.680657,1,14.974503
652.680657,1,14.994267
652.680657,1,15.012206
652.680657,1,15.033962
652.680657,1,15.055508
652.680657,1,15.074312
652.680657,1,15.09427
652.680657,1,15.11723
652.680657,1,15.13564
652.680657,1,15.157152
652.680657,1,15.176573
652.680657,1,15.201082
652.680657,1,15.222005
652.680657,1,15.239959
652.680657,1,15.260267
652.680657,1,15.284244
652.680657,1,15.305997
652.680657,1,15.327463
1611.721638,2,15.348977
1611.721638,2,15.386264
1611.721638,2,15.423471
1611.721638,2,15.462551
1611.721638,2,15.498204
1611.721638,2,15.543608
1611.721638,2,15.582359
1611.721638,2,15.619632
1611.721638,2,15.656816
1611.721638,2,15.697764
1611.721638,2,15.733611
1611.721638,2,15.773216
1611.721638,2,15.8101
1611.721638,2,15.850428
1611.721638,2,15.889543
1611.721638,2,15.927654
1611.721565,2,15.966315
1611.721565,2,16.020586
1611.721565,2,16.066242
1611.721565,2,16.113065
1611.721565,2,16.15754
1611.721565,2,16.204109
1611.721565,2,16.24603
1611.721565,2,16.311404
1611.721565,2,16.355813
1611.721565,2,16.402213
1611.721565,2,16.447823
1611.721565,2,16.488801
1611.721638,2,16.525972
1611.721638,2,16.570847
1611.721638,2,16.613487
1611.721638,2,16.652438
1611.721638,2,16.691773
1611.721638,2,16.738879
1611.721638,2,16.778347
1611.721638,2,16.817325
1611.721638,2,16.859741
1611.721638,2,16.901262
1611.721638,2,16.939101
1611.721638,2,16.975244
1611.721638,2,17.013015
1611.721638,2,17.058872
1611.721638,2,17.103188
1611.721638,2,17.146531
1611.721638,2,17.188107
1611.721638,2,17.236583
1611.721638,2,17.278519
1611.721638,2,17.320042
1611.721638,2,17.3636
1611.721638,2,17.405649
1611.721638,2,17.447065
1611.721638,2,17.488906
1611.721638,2,17.529365
1611.721638,2,17.577501
1611.721638,2,17.618455
1611.721638,2,17.657716
1611.721638,2,17.69519
1611.721638,2,17.738278
