#{"t_start": 1688958427.8017845, "env_id": "None"}
r,l,t
0.0,1,23.275468
0.0,1,23.277361
0.0,1,23.280435
0.0,1,23.282367
0.0,1,23.284424
0.0,1,23.286331
0.0,1,23.288721
0.0,1,23.289865
0.0,1,23.290936
0.0,1,23.292061
0.0,1,23.293977
0.0,1,23.295007
0.0,1,23.29605
0.0,1,23.297259
0.0,1,23.2999
0.0,1,23.301058
0.0,1,23.302103
0.0,1,23.303192
0.0,1,23.30509
0.0,1,23.306141
0.0,1,23.307311
0.0,1,23.308446
0.0,1,23.310407
0.0,1,23.311509
0.0,1,23.312494
0.0,1,23.313592
0.0,1,23.315867
0.0,1,23.317043
0.0,1,23.318183
0.0,1,23.31931
0.0,1,23.321388
0.0,1,23.322515
0.0,1,23.3236
0.0,1,23.324662
0.0,1,23.326532
0.0,1,23.327642
0.0,1,23.328718
0.0,1,23.329839
0.0,1,23.331784
0.0,1,23.333338
0.0,1,23.334497
0.0,1,23.335599
0.0,1,23.337679
0.0,1,23.33877
0.0,1,23.339831
0.0,1,23.340926
0.0,1,23.342804
0.0,1,23.343885
0.0,1,23.344968
0.0,1,23.346123
0.0,1,23.34818
0.0,1,23.349447
0.0,1,23.350526
0.0,3,23.352804
0.0,1,23.354925
0.0,1,23.356019
0.0,1,23.357045
0.0,1,23.358068
0.0,1,23.360025
0.0,1,23.361131
0.0,1,23.362203
0.0,1,23.363282
0.0,1,23.365586
0.0,1,23.367522
0.0,1,23.368886
0.0,1,23.369962
0.0,1,23.372267
0.0,1,23.373353
0.0,1,23.374404
0.0,1,23.375507
0.0,1,23.377328
0.0,1,23.378479
0.0,1,23.379676
0.0,1,23.380852
0.0,1,23.383728
0.0,1,23.38491
0.0,1,23.38597
0.0,1,23.387096
0.0,1,23.389097
0.0,1,23.390156
0.0,1,23.391267
0.0,1,23.392372
0.0,1,23.395275
0.0,1,23.396432
0.0,1,23.397579
0.0,1,23.399094
0.0,1,23.401441
0.0,1,23.402774
0.0,1,23.403864
0.0,1,23.404927
0.0,1,23.406799
0.0,1,23.407934
0.0,1,23.411022
0.0,1,23.412162
0.0,1,23.413251
0.0,1,23.414331
0.0,1,23.416558
0.0,1,23.417707
0.0,1,23.418771
0.0,1,23.419852
0.0,1,23.422159
0.0,1,23.423252
0.0,1,23.424297
0.0,1,23.425364
0.0,1,23.427182
0.0,1,23.428323
0.0,1,23.429419
0.0,1,23.430472
0.0,1,23.432777
0.0,1,23.433994
0.0,1,23.435148
0.0,1,23.436267
0.0,1,23.438296
0.0,1,23.439417
0.0,1,23.440475
0.0,1,23.441552
0.0,1,23.443452
0.0,1,23.44453
0.0,1,23.445649
0.0,1,23.446798
0.0,1,23.448782
0.0,1,23.450109
0.0,1,23.451214
0.0,1,23.452281
0.0,1,23.454311
0.0,1,23.455405
0.0,1,23.456469
0.0,1,23.457516
0.0,1,23.459334
0.0,1,23.460398
0.0,1,23.461457
0.0,1,23.462513
0.0,1,23.464246
0.0,1,23.465508
0.0,1,23.466737
0.0,1,23.467828
0.0,1,23.469834
0.0,1,23.470912
0.0,1,23.471971
0.0,1,23.473025
0.0,1,23.474859
0.0,1,23.475935
0.0,1,23.476976
0.0,1,23.478078
0.0,1,23.479913
0.0,1,23.481005
0.0,1,23.482402
0.0,1,23.483545
0.0,1,23.485583
882.047562,2,23.487302
0.0,1,23.488409
0.0,1,23.489519
0.0,1,23.491412
0.0,1,23.492553
0.0,1,23.493665
501.452624,1,23.494739
0.0,1,23.49672
0.0,1,23.497892
0.0,1,23.499344
0.0,1,23.500437
0.0,1,23.502492
0.0,1,23.503629
0.0,1,23.504756
0.0,1,23.505799
0.0,1,23.507604
0.0,1,23.508666
0.0,1,23.509729
0.0,1,23.510793
0.0,1,23.512536
0.0,1,23.513666
0.0,1,23.51485
0.0,1,23.517122
0.0,1,23.519307
